"CODE","DESCRIPTION"
"SAG","RAY CRAFT (SAN AUGUSTINE FIBERGLASS PRODUCTS)"
"SAN","SANGER BOAT MFG."
"SATR","SATURN CORPORATION"
"SAW","SAWYER CANOE CO."
"SBC","SUMMER BOAT CO."
"SBM","SOONER BOAT MFG. CO."
"SBW","STAUTER BOAT WORKS"
"SCAN","SAAB SCANIA OF AMERICA"
"SCAT","SKAT-KITTY"
"SCC","SCAT-CRAFT MARINE, INC."
"SCIO","SCION"
"SCN","SEACREST MARINE CORP."
"SCOR","SCORPION INC."
"SCR","SPORT CRAFT, INC."
"SCRP","SCORPION INC."
"SCT","SCOTT BOAT CO., INC."
"SEA","SEA NYMPH MFG."
"SEAR","SEARS"
"SEC","SEA CRAFT, INC."
"SECE","SE/CE (LIMITED USE AUTO)"
"SECO","SECO"
"SEJ","SEAJAY BOATS, INC."
"SEN","SEABIRD INDUSTRIES, INC."
"SER","SEA RAY BOATS, INC."
"SES","SEARS AND ROEBUCK, MARINE DIV."
"SEV","SEVYLOR USA, INC."
"SGN","THUNDERBIRD PRODS. (SIGNA CORP.)"
"SHAS","SHASTA MOTOR HOME"
"SHEB","SHELBY AMERICAN"
"SIM","SIMCA"
"SKB","DILKS & CO."
"SKIR","SKIROULE LTD (ARIENS)"
"SKJ","SKI BOATS, INC."
"SKM","SKIMMAR BOATS"
"SLB","SHELL LAKE BOATS (DIV. OF LUND AMERICAN)"
"SLE","SLEEK CRAFT BOATS"
"SLK","AMF SLICKCRAFT (AMF POWERBOAT & AMFROBALO)"
"SLV","SILVERLINE, INC. (MOOREHEAD PLASTICS, INC.)"
"SMD","SEA MAID"
"SMK","SMOKER LUMBER CO., INC."
"SMRT","SMART"
"SNA","SNARK PRODUCTS, INC."
"SNOJ","SABRE JET - SEE SNO*JET, INC."
"SNOW","UNLISTED SNOW MFR"
"SNT","COLLINS CRAFT, INC. (SANTA ROSE BOATS-CAMPERS)"
"SNX","SUNDANCE MARINE"
"SPA","SPACE CRAFT BOATS WORKS, INC"
"SPAR","SPARTA"
"SPE","SPECTRA MARINE"
"SPNR","SPRINTER"
"SPPI","SPEEDWAY PRODUCTS INC."
"SPR","MARLINBOATS (SUPERIOR PLASTICS, INC.)"
"SPU","SPORTSMAN CANOE CO."
"SPX","SPORTSPAL, INC."
"SRC","STEURY CORP."
"SRCO","SEARS"
"SSB","SEA SPRITE BOAT CO., INC."
"SSI","SSI"
"SSR","SEA STAR BOAT CO."
"SSU","S2 YACHTS, INC."
"STAO","STARCRAFT"
"STCO","STARCRAFT CORPORATION"
"STDP","STEYR-DAIMLER-PUCH"
"STE","SKEETER PRODS., INC. (STEMCO MARINE)"
"STF","STERNCRAFT BOAT CO."
"STLG","STERLING"
"STM","FOUR WINNS (SAF-T-MATE, INC.)"
"STOU","STOUGHTON TRAILERS"
"STR","STARCRAFT MARINE"
"STRG","STERLING"
"STRI","STRICK TRAILERS"
"STRM","STREAMLINE MOTOR HOME"
"STRN","SATURN"
"STU","STUDEBAKER"
"STUZ","STUTZ"
"SUBA","SUBARU"
"SUE","SUPERIOR PLASTICS"
"SUNB","SUNBEAM"
"SUPE","SUPERIOR"
"SUR","SURFGLAS, INC. (PRINDLE CAT)"
"SUZI","SUZUKI"
"SVU","STINGER BOAT CO."
"SWE","THE STOWE CANOE CO. (MANSFIELD CANOE)"
"SWGR","SWINGER SNOWMOBILES (GRISWOLD INDUSTRIES)"
"SWIN","SWINGER"
"SWM","SIDEWINDER OF WISCONSIN"
"SWT","SWITZER CRAFT, INC."
"SXL","NORTH AMERICAN CATAMARANS"
"SYK","STRYKER BOATS (R & R FIBERGLASS CO.)"
"SYL","SYLVAN INDUSTRIES, INC."
"TAH","TAHITI BOATS (BELL INDUSTRIES)"
"TAOI","TAOTAO INDUSTRY CO"
"TAY","TAYLOR BOATS"
"TBH","THE BLUE HOLE CANOE CO."
"TCT","THUNDER CRAFT BOAT, INC."
"TDC","TIDE CRAFT, INC."
"TEC","TEC"
"TER","TERRY BASS BOAT"
"TESL","TESLA MOTORS"
"THEU","TDEURER ATLANTIC"
"THMS","THOMAS BUILT BUSES"
"TIMP","TIMPTE"
"TIOG","TIOGA MOTOR HOME"
"TMC","TRANSPORTATION MFG. CORP."
"TMH","TOMAHAWK, INC."
"TMR","TOM SAWYER BOATS"
"TMS","THOMPSON BROS. BOAT MFG."
"TN1","THUNDERBIRD PRODUCTS CORP."
"TNR","THUNDERBIRD PRODUCTS CORP."
"TNV","TENNESSEE VALLEY FIBERGLASS CO."
"TORO","TORO CO."
"TOYT","TOYOTA"
"TPC","TRIPLE C ENTERPRISES"
"TPL","TPL BOATS"
"TRA","TRAILORBOATS CO INC"
"TRAB","TRABANT"
"TRAI","TRAILEX"
"TRAO","TRANSCRAFT CORP"
"TREK","TREK"
"TRIU","TRIUMPH"
"TRJ","TROJAN YACHT DIV."
"TRLC","TRAILCO"
"TROJ","TROJAN"
"TRR","TOM ROLAND SAILBO (NORTH AMERICAN CATAMARANS)"
"TRS","TRI-SONIC MARINE DIV."
"TRUM","TRIUMPH MOTORCYCLES"
"TRV","STANRY (TRAVELLER BOATS)"
"TRVC","TRAVCO CORP"
"TSB","CHAMPION BOATS (THE STORIE CO.)"
"TSCC","TUCKER SNO-CAT CORPORATION (AKTIV)"
"TTII","T & T INDUSTRIES- INC."
"TUCK","TUCKER"
"TVR","TVR"
"TYR","TAYLOR BOATS (HI-PERFORMANCE MARINE)"
"UD","NISSAN DIESEL MOTOR CO."
"UHAU","UHAUL"
"UMC","UNIVERSAL MARINE SERVICE"
"USSM","U.S. SUZUKI MOTOR CORP. LTD."
"UTIL","UTILITY TRAILER MFG."
"UTIM","UTILIMASTER"
"VAB","VALLEY ALUMINUM BOATS (VALCO ALUMINUM BOATS)"
"VACE","VACATIONAR"
"VACR","VECTOR AUTOMOTIVE"
"VAGA","VAGABOND"
"VAUX","VAUXHALL"
"VBC","VIKING BOAT COMPANY"
"VCTY","VICTORY MOTORCYCLES"
"VENU","VENUS"
"VESP","VESPA"
"VIKI","VIKING"
"VINC","BLACK KNIGHT"
"VKB","VIKING BOATS"
"VKNG","VIKING SNOWMOBILES INC."
"VKP","VIKING BOATS"
"VKX","VIKING BOATS"
"VNB","VENTURA BOATS, INC."
"VNG","VANGUARD, INC."
"VNTO","VENTO MOTORCYCLES"
"VOGA","VOLGA"
"VOLK","VOLKSWAGEN"
"VOLV","VOLVO"
"VVN","VIVIAN INDUSTRIES PLASTICS"
"VVV","CHRYSLER BOAT CORP."
"VXP","VIP MARINE INDUSTRIES"
"VXX","MARIAH BOATS, INC. (MAGNUM MARINE,INC.)"
"WAC","WACO MFG., INC."
"WALA","WARD LAFRANCE INTERNATIONAL"
"WALK","WALKER"
"WARD","MONTGOMERY WARD"
"WART","WARTBURG"
"WB2","WESTWIND BOATS, INC."
"WBB","WEBBCRAFT, INC."
"WDC","WARRENCRAFT DISTRIBUTOR, INC"
"WDN","WOODSON"
"WDT","WREIDT CUSTOM BOATS"
"WEL","WELLCRAFT MARINE"
"WELL","WELLS CARGO"
"WEM","PERCEPTION, INC., (MARBA GLAS & WILLIAM MASTERS)"
"WFMI","MICKEY TRUCK BODIES"
"WHB","WHITE WATER BOATS"
"WHGM","WHITE GMC"
"WHIT","WHITE MOTOR CORP"
"WHT","WHITE HOUSE"
"WINN","WINNEBAGO INDUSTRIES"
"WIPT","WHIP IT SNOWMOBIL (MELVIN MANUFACTURING)"
"WKM","WALKIKI MARINE"
"WLLS","WILLYS"
"WLR","WOLVERINE MARINE CO."
"WNB","WINNER BOATS"
"WRKH","WORKHORSE CUSTOM CHASIS"
"WRN","WARREN CRAFT"
"WSF","WINDSURFING INTERNATIONAL, INC."
"WST","WEST WIND BOAT CO. (PISCES BOAT CO.)"
"WSTR","WESTERN STAR"
"WXH","FALCON BOATS, INC. (WI HUDSON CO.,INC.)"
"XBD","AMERICAN INTERNATIONAL AIRBOAT, INC."
"XBW","OZARK BOAT WORKS"
"XDC","ZODIAC OF NORTH AMERICA"
"XDY","O DAY CORP. (BANGOR PUNTA MARINE)"
"XHC","SUNRIDER HOVERCRA (BRITISH SPORTS HOVERCRAFT, LTD)"
"XKA","OCEAN KAYAK"
"XMG","OMEGA BOATCORP. (TRICORP BOATS, INC.)"
"XMP","APECO CORP. (IMP BOATS)"
"XMR","OUCHITA MRNE & IND CORP"
"XNA","NORTH AMERICAN FIBERGLASS"
"XRR","ORRION BOATS"
"XSF","SABRE MARINE, INC."
"XTB","SUPREME INDUSTRIES, INC."
"XTC","OLD TOWN CANOE CO."
"XUS","SINTERPLAST"
"XVA","INVADER CORP."
"YACH","YACHT CLUB"
"YAMA","YAMAHA"
"YAMA","YAMAHA MOTOR CORP. (CHAPPY)"
"YMCL","YAMAHA MOTOR COMPANY"
"YUGO","YUGO"
"ZCZY","YUGO"
"ZFS","LES VOILIERS PERFORMANCE, INC"
"ZIMM","ZIMMER"
